driverid,truckid,model,event,latitude,longitude,city,state,velocity,event_ind,idling_ind
A54,A54,Western Star,normal,38.440467,-122.714431,Santa Rosa,California,17,0,0
A20,A20,Western Star,normal,36.977173,-121.899402,Aptos,California,27,0,0
A40,A40,Ford,overspeed,37.957702,-121.29078,Stockton,California,77,1,0
A31,A31,Kenworth,normal,39.409608,-123.355566,Willits,California,22,0,0
A71,A71,Peterbilt,normal,33.683947,-117.794694,Irvine,California,43,0,0
A50,A50,Oshkosh,normal,38.40765,-122.947713,Occidental,California,0,0,1
A51,A51,Crane,normal,37.639097,-120.996878,Modesto,California,0,0,1
A19,A19,Caterpillar,normal,37.962146,-122.345526,San Pablo,California,0,0,1
A77,A77,Ford,normal,37.962146,-122.345526,San Pablo,California,25,0,0
A92,A92,Volvo,normal,37.484938,-119.966284,Mariposa,California,0,0,1
A89,A89,Caterpillar,normal,39.017396,-122.057748,Arbuckle,California,38,0,0
A86,A86,Ford,normal,32.715329,-117.157255,San Diego,California,45,0,0
A5,A5,Hino,unsafe following distance,41.526509,-124.038407,Klamath,California,33,1,0
A54,A54,Western Star,normal,35.373292,-119.018712,Bakersfield,California,19,0,0
A48,A48,Peterbilt,overspeed,38.752124,-121.288006,Roseville,California,77,1,0
A2,A2,Ford,normal,32.61768,-116.187424,Jacumba,California,50,0,0
A98,A98,Volvo,normal,33.19587,-117.379483,Oceanside,California,27,0,0
A10,A10,Peterbilt,normal,40.761243,-123.994778,Kneeland,California,0,0,1
A12,A12,Caterpillar,normal,37.968812,-121.668008,Knightsen,California,59,0,0
A43,A43,Peterbilt,normal,37.968812,-121.668008,Knightsen,California,45,0,0
A65,A65,Hino,normal,37.484938,-119.966284,Mariposa,California,0,0,1
A62,A62,Ford,normal,34.106676,-117.806726,San Dimas,California,39,0,0
A94,A94,Volvo,unsafe following distance,37.941325,-122.484704,San Quentin,California,0,1,1
A68,A68,Navistar,normal,38.440467,-122.714431,Santa Rosa,California,51,0,0
A49,A49,Caterpillar,lane departure,39.150171,-123.207783,Ukiah,California,41,1,0
A72,A72,Caterpillar,normal,37.957702,-121.29078,Stockton,California,0,0,1
A10,A10,Peterbilt,normal,34.106676,-117.806726,San Dimas,California,46,0,0
A68,A68,Navistar,normal,34.500831,-117.185876,Apple Valley,California,16,0,0
A51,A51,Crane,normal,33.846404,-118.046731,La Palma,California,15,0,0
A7,A7,Ford,normal,40.563763,-122.238892,Palo Cedro,California,40,0,0
A11,A11,Peterbilt,normal,39.409608,-123.355566,Willits,California,31,0,0
A8,A8,Navistar,normal,38.440467,-122.714431,Santa Rosa,California,25,0,0
A37,A37,Kenworth,normal,34.435829,-119.827639,Goleta,California,16,0,0
A9,A9,Volvo,normal,38.716687,-121.364422,Antelope,California,67,0,0
A34,A34,Freightliner,normal,38.440467,-122.714431,Santa Rosa,California,68,0,0
A38,A38,Hino,normal,33.663357,-116.310009,La Quinta,California,72,0,0
A56,A56,Caterpillar,normal,34.435829,-119.827639,Goleta,California,0,0,1
A27,A27,Peterbilt,normal,38.40765,-122.947713,Occidental,California,18,0,0
A26,A26,Peterbilt,normal,34.44805,-119.242889,Ojai,California,19,0,0
A58,A58,Ford,normal,38.716687,-121.364422,Antelope,California,39,0,0
A57,A57,Freightliner,normal,36.471865,-6.196595,San Fernando,California,16,0,0
A68,A68,Navistar,normal,33.743076,-117.109197,Homeland,California,28,0,0
A17,A17,Western Star,normal,37.957702,-121.29078,Stockton,California,16,0,0
A93,A93,Navistar,normal,38.440467,-122.714431,Santa Rosa,California,37,0,0
A37,A37,Kenworth,normal,37.441883,-122.143019,Palo Alto,California,18,0,0
A33,A33,Caterpillar,normal,37.941325,-122.484704,San Quentin,California,63,0,0
A33,A33,Caterpillar,normal,40.761243,-123.994778,Kneeland,California,34,0,0
A69,A69,Volvo,normal,35.373292,-119.018712,Bakersfield,California,45,0,0
A22,A22,Caterpillar,normal,39.150171,-123.207783,Ukiah,California,30,0,0
A98,A98,Volvo,normal,37.941325,-122.484704,San Quentin,California,42,0,0
A100,A100,Peterbilt,normal,34.136119,-117.865339,Glendora,California,0,0,1
A15,A15,Ford,normal,39.230151,-121.136075,Rough and Ready,California,42,0,0
A66,A66,Caterpillar,normal,36.852455,-121.401602,Hollister,California,39,0,0
A33,A33,Caterpillar,normal,38.440467,-122.714431,Santa Rosa,California,57,0,0
A15,A15,Ford,normal,38.440467,-122.714431,Santa Rosa,California,56,0,0
A37,A37,Kenworth,normal,34.354166,-119.059271,Santa Paula,California,68,0,0
A49,A49,Caterpillar,normal,38.019366,-122.134132,Martinez,California,53,0,0
A50,A50,Oshkosh,normal,34.136119,-117.865339,Glendora,California,25,0,0
A38,A38,Hino,normal,33.663357,-116.310009,La Quinta,California,69,0,0
A52,A52,Ford,normal,38.752124,-121.288006,Roseville,California,71,0,0
A22,A22,Caterpillar,normal,38.440467,-122.714431,Santa Rosa,California,0,0,1
A16,A16,Navistar,normal,39.017396,-122.057748,Arbuckle,California,0,0,1
A67,A67,Ford,normal,38.440467,-122.714431,Santa Rosa,California,42,0,0
A100,A100,Peterbilt,normal,38.440467,-122.714431,Santa Rosa,California,52,0,0
A39,A39,Caterpillar,normal,39.409608,-123.355566,Willits,California,0,0,1
A79,A79,Volvo,normal,36.471865,-6.196595,San Fernando,California,70,0,0
A5,A5,Hino,normal,34.579434,-118.116461,Palmdale,California,50,0,0
A27,A27,Peterbilt,normal,39.230151,-121.136075,Rough and Ready,California,59,0,0
A12,A12,Caterpillar,normal,38.440467,-122.714431,Santa Rosa,California,69,0,0
A35,A35,Ford,normal,39.409608,-123.355566,Willits,California,0,0,1
A20,A20,Western Star,normal,34.106676,-117.806726,San Dimas,California,55,0,0
A16,A16,Navistar,normal,38.440467,-122.714431,Santa Rosa,California,37,0,0
A62,A62,Ford,normal,38.440467,-122.714431,Santa Rosa,California,71,0,0
A99,A99,Peterbilt,normal,34.500831,-117.185876,Apple Valley,California,0,0,1
A35,A35,Ford,normal,39.409608,-123.355566,Willits,California,75,0,0
A16,A16,Navistar,normal,37.005782,-121.568275,Gilroy,California,0,0,1
A29,A29,Ford,normal,37.441883,-122.143019,Palo Alto,California,46,0,0
A28,A28,Caterpillar,normal,34.579434,-118.116461,Palmdale,California,38,0,0
A59,A59,Ford,normal,34.019454,-118.491191,Santa Monica,California,20,0,0
A76,A76,Caterpillar,normal,33.743076,-117.109197,Homeland,California,31,0,0
A32,A32,Hino,normal,41.526509,-124.038407,Klamath,California,67,0,0
A32,A32,Hino,normal,33.846404,-118.046731,La Palma,California,69,0,0
A35,A35,Ford,normal,37.968812,-121.668008,Knightsen,California,32,0,0
A66,A66,Caterpillar,normal,38.440467,-122.714431,Santa Rosa,California,73,0,0
A18,A18,Caterpillar,normal,34.500831,-117.185876,Apple Valley,California,42,0,0
A97,A97,Caterpillar,overspeed,38.440467,-122.714431,Santa Rosa,California,33,1,0
A91,A91,Navistar,normal,37.957702,-121.29078,Stockton,California,69,0,0
A78,A78,Navistar,normal,38.716687,-121.364422,Antelope,California,41,0,0
A30,A30,Ford,normal,38.440467,-122.714431,Santa Rosa,California,23,0,0
A40,A40,Ford,normal,41.526509,-124.038407,Klamath,California,61,0,0
A75,A75,Hino,lane departure,34.106676,-117.806726,San Dimas,California,41,1,0
A73,A73,Oshkosh,normal,34.136119,-117.865339,Glendora,California,22,0,0
A71,A71,Peterbilt,normal,38.805462,-123.017223,Cloverdale,California,68,0,0
A94,A94,Volvo,normal,38.716687,-121.364422,Antelope,California,41,0,0
A84,A84,Freightliner,normal,35.373292,-119.018712,Bakersfield,California,21,0,0
A40,A40,Ford,normal,38.440467,-122.714431,Santa Rosa,California,47,0,0
A11,A11,Peterbilt,normal,38.440467,-122.714431,Santa Rosa,California,24,0,0
A61,A61,Freightliner,normal,34.500831,-117.185876,Apple Valley,California,33,0,0
A68,A68,Navistar,normal,34.354166,-119.059271,Santa Paula,California,0,0,1
A99,A99,Peterbilt,normal,34.44805,-119.242889,Ojai,California,55,0,0
A2,A2,Ford,normal,33.19587,-117.379483,Oceanside,California,20,0,0
A90,A90,Ford,normal,33.683947,-117.794694,Irvine,California,20,0,0
A88,A88,Hino,normal,40.563763,-122.238892,Palo Cedro,California,0,0,1
A35,A35,Ford,normal,36.852455,-121.401602,Hollister,California,25,0,0
A79,A79,Volvo,normal,36.471865,-6.196595,San Fernando,California,0,0,1
A94,A94,Volvo,normal,33.683947,-117.794694,Irvine,California,72,0,0
A7,A7,Ford,normal,39.409608,-123.355566,Willits,California,0,0,1
A31,A31,Kenworth,normal,39.409608,-123.355566,Willits,California,0,0,1
A9,A9,Volvo,normal,32.715329,-117.157255,San Diego,California,54,0,0
A9,A9,Volvo,unsafe tail distance,32.715329,-117.157255,San Diego,California,63,1,0
A20,A20,Western Star,normal,37.639097,-120.996878,Modesto,California,24,0,0
A70,A70,Peterbilt,normal,38.693723,-119.779683,Markleeville,California,19,0,0
A50,A50,Oshkosh,normal,35.373292,-119.018712,Bakersfield,California,43,0,0
A21,A21,Hino,normal,38.752124,-121.288006,Roseville,California,0,0,1
A34,A34,Freightliner,normal,40.563763,-122.238892,Palo Cedro,California,51,0,0
A85,A85,Ford,normal,37.639097,-120.996878,Modesto,California,33,0,0
A5,A5,Hino,normal,38.297538,-122.286865,Napa,California,46,0,0
A62,A62,Ford,normal,39.409608,-123.355566,Willits,California,22,0,0
A52,A52,Ford,normal,37.941325,-122.484704,San Quentin,California,0,0,1
A63,A63,Ford,normal,33.683947,-117.794694,Irvine,California,74,0,0
A12,A12,Caterpillar,normal,38.440467,-122.714431,Santa Rosa,California,58,0,0
A71,A71,Peterbilt,normal,32.811161,-115.380264,Holtville,California,73,0,0
A39,A39,Caterpillar,normal,38.716687,-121.364422,Antelope,California,0,0,1
A81,A81,Peterbilt,normal,34.953034,-120.435719,Santa Maria,California,45,0,0
A7,A7,Ford,normal,40.563763,-122.238892,Palo Cedro,California,40,0,0
A33,A33,Caterpillar,normal,34.106676,-117.806726,San Dimas,California,0,0,1
A6,A6,Caterpillar,normal,34.354166,-119.059271,Santa Paula,California,70,0,0
A24,A24,Navistar,normal,36.852455,-121.401602,Hollister,California,63,0,0
A59,A59,Ford,normal,32.61768,-116.187424,Jacumba,California,39,0,0
A79,A79,Volvo,normal,37.441883,-122.143019,Palo Alto,California,75,0,0
A100,A100,Peterbilt,normal,38.40765,-122.947713,Occidental,California,43,0,0
A38,A38,Hino,normal,34.500831,-117.185876,Apple Valley,California,46,0,0
A46,A46,Volvo,normal,34.500831,-117.185876,Apple Valley,California,68,0,0
A49,A49,Caterpillar,normal,38.440467,-122.714431,Santa Rosa,California,75,0,0
A72,A72,Caterpillar,normal,38.161861,-121.611621,Isleton,California,0,0,1
A38,A38,Hino,normal,40.563763,-122.238892,Palo Cedro,California,61,0,0
A80,A80,Peterbilt,unsafe tail distance,37.77493,-122.419416,San Francisco,California,28,1,0
A64,A64,Kenworth,normal,37.941325,-122.484704,San Quentin,California,75,0,0
A35,A35,Ford,normal,37.968812,-121.668008,Knightsen,California,0,0,1
A38,A38,Hino,normal,39.409608,-123.355566,Willits,California,16,0,0
A68,A68,Navistar,normal,33.743076,-117.109197,Homeland,California,0,0,1
A95,A95,Peterbilt,normal,38.161861,-121.611621,Isleton,California,67,0,0
A12,A12,Caterpillar,normal,37.962146,-122.345526,San Pablo,California,37,0,0
A53,A53,Navistar,normal,38.440467,-122.714431,Santa Rosa,California,75,0,0
A76,A76,Caterpillar,normal,38.440467,-122.714431,Santa Rosa,California,50,0,0
A19,A19,Caterpillar,normal,36.977173,-121.899402,Aptos,California,50,0,0
A68,A68,Navistar,normal,34.500831,-117.185876,Apple Valley,California,22,0,0
A96,A96,Peterbilt,normal,37.962146,-122.345526,San Pablo,California,0,0,1
A38,A38,Hino,normal,40.563763,-122.238892,Palo Cedro,California,61,0,0
A68,A68,Navistar,normal,33.743076,-117.109197,Homeland,California,16,0,0
A36,A36,Ford,normal,38.440467,-122.714431,Santa Rosa,California,48,0,0
A60,A60,Caterpillar,normal,40.761243,-123.994778,Kneeland,California,23,0,0
A52,A52,Ford,normal,37.441883,-122.143019,Palo Alto,California,71,0,0
A91,A91,Navistar,unsafe following distance,38.440467,-122.714431,Santa Rosa,California,43,1,0
A59,A59,Ford,unsafe following distance,34.019454,-118.491191,Santa Monica,California,43,1,0
A91,A91,Navistar,normal,37.957702,-121.29078,Stockton,California,61,0,0
A55,A55,Caterpillar,normal,37.005782,-121.568275,Gilroy,California,67,0,0
A76,A76,Caterpillar,normal,37.77493,-122.419416,San Francisco,California,0,0,1
A61,A61,Freightliner,normal,39.409608,-123.355566,Willits,California,0,0,1
A85,A85,Ford,lane departure,37.77493,-122.419416,San Francisco,California,55,1,0
A83,A83,Oshkosh,normal,34.500831,-117.185876,Apple Valley,California,28,0,0
A92,A92,Volvo,normal,39.409608,-123.355566,Willits,California,19,0,0
A40,A40,Ford,normal,39.409608,-123.355566,Willits,California,68,0,0
A11,A11,Peterbilt,normal,35.373292,-119.018712,Bakersfield,California,25,0,0
A12,A12,Caterpillar,normal,38.440467,-122.714431,Santa Rosa,California,0,0,1
A90,A90,Ford,normal,38.716687,-121.364422,Antelope,California,0,0,1
A40,A40,Ford,normal,33.846404,-118.046731,La Palma,California,15,0,0
A65,A65,Hino,normal,33.663357,-116.310009,La Quinta,California,0,0,1
A38,A38,Hino,normal,39.409608,-123.355566,Willits,California,55,0,0
A2,A2,Ford,normal,39.017396,-122.057748,Arbuckle,California,39,0,0
A59,A59,Ford,normal,38.716687,-121.364422,Antelope,California,30,0,0
A38,A38,Hino,normal,36.977173,-121.899402,Aptos,California,68,0,0
A28,A28,Caterpillar,normal,34.579434,-118.116461,Palmdale,California,69,0,0
A86,A86,Ford,normal,34.019454,-118.491191,Santa Monica,California,0,0,1
A78,A78,Navistar,normal,38.297538,-122.286865,Napa,California,0,0,1
A75,A75,Hino,normal,32.61768,-116.187424,Jacumba,California,46,0,0
A5,A5,Hino,normal,34.019454,-118.491191,Santa Monica,California,22,0,0
A39,A39,Caterpillar,normal,39.017396,-122.057748,Arbuckle,California,75,0,0
A27,A27,Peterbilt,normal,37.484938,-119.966284,Mariposa,California,37,0,0
A48,A48,Peterbilt,normal,37.957702,-121.29078,Stockton,California,0,0,1
A8,A8,Navistar,normal,39.409608,-123.355566,Willits,California,0,0,1
A5,A5,Hino,normal,38.297538,-122.286865,Napa,California,37,0,0
A31,A31,Kenworth,normal,38.440467,-122.714431,Santa Rosa,California,40,0,0
A94,A94,Volvo,overspeed,36.471865,-6.196595,San Fernando,California,77,1,0
A24,A24,Navistar,normal,38.297538,-122.286865,Napa,California,15,0,0
A73,A73,Oshkosh,overspeed,35.373292,-119.018712,Bakersfield,California,81,1,0
A76,A76,Caterpillar,normal,40.563763,-122.238892,Palo Cedro,California,0,0,1
A62,A62,Ford,normal,38.716687,-121.364422,Antelope,California,71,0,0
A57,A57,Freightliner,normal,38.799703,-121.720574,Knights Landing,California,64,0,0
A71,A71,Peterbilt,lane departure,33.683947,-117.794694,Irvine,California,0,1,1
A94,A94,Volvo,normal,36.471865,-6.196595,San Fernando,California,40,0,0
A44,A44,Peterbilt,normal,38.440467,-122.714431,Santa Rosa,California,59,0,0
A8,A8,Navistar,normal,37.968812,-121.668008,Knightsen,California,17,0,0
A28,A28,Caterpillar,lane departure,38.297538,-122.286865,Napa,California,74,1,0
A3,A3,Ford,normal,38.019366,-122.134132,Martinez,California,0,0,1
A5,A5,Hino,normal,38.297538,-122.286865,Napa,California,58,0,0
A100,A100,Peterbilt,normal,37.962146,-122.345526,San Pablo,California,17,0,0
A100,A100,Peterbilt,normal,38.440467,-122.714431,Santa Rosa,California,0,0,1
A91,A91,Navistar,normal,38.440467,-122.714431,Santa Rosa,California,54,0,0
A3,A3,Ford,normal,40.563763,-122.238892,Palo Cedro,California,44,0,0
A12,A12,Caterpillar,normal,38.440467,-122.714431,Santa Rosa,California,33,0,0
A45,A45,Caterpillar,normal,39.150171,-123.207783,Ukiah,California,33,0,0
A37,A37,Kenworth,normal,34.435829,-119.827639,Goleta,California,0,0,1
A59,A59,Ford,normal,37.957702,-121.29078,Stockton,California,49,0,0
A10,A10,Peterbilt,normal,40.761243,-123.994778,Kneeland,California,18,0,0
A75,A75,Hino,normal,36.471865,-6.196595,San Fernando,California,0,0,1
A17,A17,Western Star,normal,39.017396,-122.057748,Arbuckle,California,40,0,0
A98,A98,Volvo,unsafe following distance,33.683947,-117.794694,Irvine,California,33,1,0
A67,A67,Ford,normal,38.716687,-121.364422,Antelope,California,49,0,0
A97,A97,Caterpillar,normal,34.579434,-118.116461,Palmdale,California,34,0,0
A44,A44,Peterbilt,normal,37.957702,-121.29078,Stockton,California,31,0,0
A4,A4,Kenworth,normal,34.136119,-117.865339,Glendora,California,0,0,1
A13,A13,Oshkosh,normal,38.752124,-121.288006,Roseville,California,46,0,0
A80,A80,Peterbilt,normal,37.77493,-122.419416,San Francisco,California,60,0,0
A32,A32,Hino,normal,33.846404,-118.046731,La Palma,California,36,0,0
A63,A63,Ford,normal,32.811161,-115.380264,Holtville,California,31,0,0
A85,A85,Ford,normal,39.409608,-123.355566,Willits,California,57,0,0
A60,A60,Caterpillar,normal,40.761243,-123.994778,Kneeland,California,58,0,0
A94,A94,Volvo,normal,38.752124,-121.288006,Roseville,California,58,0,0
A63,A63,Ford,normal,37.957702,-121.29078,Stockton,California,59,0,0
A84,A84,Freightliner,normal,34.500831,-117.185876,Apple Valley,California,34,0,0
A1,A1,Freightliner,normal,36.977173,-121.899402,Aptos,California,75,0,0
A32,A32,Hino,normal,38.716687,-121.364422,Antelope,California,26,0,0
A5,A5,Hino,normal,34.579434,-118.116461,Palmdale,California,27,0,0
A4,A4,Kenworth,normal,37.77493,-122.419416,San Francisco,California,72,0,0
A91,A91,Navistar,normal,33.846404,-118.046731,La Palma,California,0,0,1
A39,A39,Caterpillar,normal,37.968812,-121.668008,Knightsen,California,29,0,0
A13,A13,Oshkosh,normal,34.579434,-118.116461,Palmdale,California,43,0,0
A38,A38,Hino,normal,39.409608,-123.355566,Willits,California,23,0,0
A66,A66,Caterpillar,normal,39.017396,-122.057748,Arbuckle,California,54,0,0
