driverid,truckid,model,month,year,Miles,Gas
A1,A1,Freightliner,JUN,2013,9217,1914
A1,A1,Freightliner,MAY,2013,8769,1892
A1,A1,Freightliner,APR,2013,14234,3008
A1,A1,Freightliner,MAR,2013,11519,2262
A1,A1,Freightliner,FEB,2013,8676,1596
A1,A1,Freightliner,JAN,2013,10025,1878
A1,A1,Freightliner,DEC,2012,12647,2331
A1,A1,Freightliner,NOV,2012,10214,2054
A1,A1,Freightliner,OCT,2012,10807,2134
A1,A1,Freightliner,SEP,2012,11127,2191
A1,A1,Freightliner,AUG,2012,9754,1967
A1,A1,Freightliner,JUL,2012,12925,2578
A1,A1,Freightliner,JUN,2012,15792,3313
A1,A1,Freightliner,MAY,2012,9052,1878
A1,A1,Freightliner,APR,2012,11062,2150
A1,A1,Freightliner,MAR,2012,13594,2824
A1,A1,Freightliner,FEB,2012,11019,2324
A1,A1,Freightliner,JAN,2012,9222,1902
A1,A1,Freightliner,DEC,2011,8565,1745
A1,A1,Freightliner,NOV,2011,10410,1943
A1,A1,Freightliner,OCT,2011,13450,3047
A1,A1,Freightliner,SEP,2011,10446,2112
A1,A1,Freightliner,AUG,2011,10378,2201
A1,A1,Freightliner,JUL,2011,9014,1598
A1,A1,Freightliner,JUN,2011,9466,2642
A1,A1,Freightliner,MAY,2011,14175,2642
A1,A1,Freightliner,APR,2011,11573,2642
A1,A1,Freightliner,MAR,2011,13055,2642
A1,A1,Freightliner,FEB,2011,14614,2642
A1,A1,Freightliner,JAN,2011,14099,2642
A1,A1,Freightliner,DEC,2010,15174,2642
A1,A1,Freightliner,NOV,2010,10635,2642
A1,A1,Freightliner,OCT,2010,12105,2642
A1,A1,Freightliner,SEP,2010,10130,2642
A1,A1,Freightliner,AUG,2010,11344,2642
A1,A1,Freightliner,JUL,2010,10622,2642
A1,A1,Freightliner,JUN,2010,10747,2642
A1,A1,Freightliner,MAY,2010,12976,2642
A1,A1,Freightliner,APR,2010,13221,2642
A1,A1,Freightliner,MAR,2010,10435,2642
A1,A1,Freightliner,FEB,2010,12839,2642
A1,A1,Freightliner,JAN,2010,8969,2642
A1,A1,Freightliner,DEC,2009,8795,2642
A1,A1,Freightliner,NOV,2009,13668,2642
A1,A1,Freightliner,OCT,2009,12414,2642
A1,A1,Freightliner,SEP,2009,13300,2642
A1,A1,Freightliner,AUG,2009,11698,2642
A1,A1,Freightliner,JUL,2009,14207,2642
A1,A1,Freightliner,JUN,2009,14062,2642
A1,A1,Freightliner,MAY,2009,12073,2642
A1,A1,Freightliner,APR,2009,15276,2642
A1,A1,Freightliner,MAR,2009,9880,2642
A1,A1,Freightliner,FEB,2009,13861,2642
A1,A1,Freightliner,JAN,2009,11176,2642
A2,A2,Ford,JUN,2013,12058,2335
A2,A2,Ford,MAY,2013,14314,2648
A2,A2,Ford,APR,2013,11050,2323
A2,A2,Ford,MAR,2013,14114,3157
A2,A2,Ford,FEB,2013,13583,2346
A2,A2,Ford,JAN,2013,15362,3353
A2,A2,Ford,DEC,2012,13608,2607
A2,A2,Ford,NOV,2012,11236,2597
A2,A2,Ford,OCT,2012,11380,1939
A2,A2,Ford,SEP,2012,12934,2324
A2,A2,Ford,AUG,2012,11848,2301
A2,A2,Ford,JUL,2012,13206,3114
A2,A2,Ford,JUN,2012,15316,3344
A2,A2,Ford,MAY,2012,13838,2718
A2,A2,Ford,APR,2012,12024,2800
A2,A2,Ford,MAR,2012,12693,2329
A2,A2,Ford,FEB,2012,14392,2929
A2,A2,Ford,JAN,2012,11134,2290
A2,A2,Ford,DEC,2011,13911,2953
A2,A2,Ford,NOV,2011,11542,2650
A2,A2,Ford,OCT,2011,11296,2135
A2,A2,Ford,SEP,2011,10224,2027
A2,A2,Ford,AUG,2011,14595,3013
A2,A2,Ford,JUL,2011,13769,2980
A2,A2,Ford,JUN,2011,10377,1827
A2,A2,Ford,MAY,2011,12786,1827
A2,A2,Ford,APR,2011,14364,1827
A2,A2,Ford,MAR,2011,8978,1827
A2,A2,Ford,FEB,2011,9259,1827
A2,A2,Ford,JAN,2011,9545,1827
A2,A2,Ford,DEC,2010,13100,1827
A2,A2,Ford,NOV,2010,8529,1827
A2,A2,Ford,OCT,2010,9667,1827
A2,A2,Ford,SEP,2010,13264,1827
A2,A2,Ford,AUG,2010,12070,1827
A2,A2,Ford,JUL,2010,10367,1827
A2,A2,Ford,JUN,2010,13829,1827
A2,A2,Ford,MAY,2010,10942,1827
A2,A2,Ford,APR,2010,10463,1827
A2,A2,Ford,MAR,2010,9406,1827
A2,A2,Ford,FEB,2010,14755,1827
A2,A2,Ford,JAN,2010,14043,1827
A2,A2,Ford,DEC,2009,11656,1827
A2,A2,Ford,NOV,2009,14744,1827
A2,A2,Ford,OCT,2009,13797,1827
A2,A2,Ford,SEP,2009,9660,1827
A2,A2,Ford,AUG,2009,10283,1827
A2,A2,Ford,JUL,2009,12034,1827
A2,A2,Ford,JUN,2009,11719,1827
A2,A2,Ford,MAY,2009,13912,1827
A2,A2,Ford,APR,2009,11892,1827
A2,A2,Ford,MAR,2009,15158,1827
A2,A2,Ford,FEB,2009,12774,1827
A2,A2,Ford,JAN,2009,11743,1827
A3,A3,Ford,JUN,2013,13652,2899
A3,A3,Ford,MAY,2013,12075,2603
A3,A3,Ford,APR,2013,12277,2792
A3,A3,Ford,MAR,2013,9642,1864
A3,A3,Ford,FEB,2013,8606,1796
A3,A3,Ford,JAN,2013,13089,2796
A3,A3,Ford,DEC,2012,10762,2099
A3,A3,Ford,NOV,2012,10250,1857
A3,A3,Ford,OCT,2012,9312,2046
A3,A3,Ford,SEP,2012,8437,1728
A3,A3,Ford,AUG,2012,13905,2789
A3,A3,Ford,JUL,2012,14079,2965
A3,A3,Ford,JUN,2012,12761,2708
A3,A3,Ford,MAY,2012,13264,2754
A3,A3,Ford,APR,2012,12957,2529
A3,A3,Ford,MAR,2012,12598,2581
A3,A3,Ford,FEB,2012,13291,2644
A3,A3,Ford,JAN,2012,9433,1881
A3,A3,Ford,DEC,2011,13980,2503
A3,A3,Ford,NOV,2011,8592,1909
A3,A3,Ford,OCT,2011,11978,2572
A3,A3,Ford,SEP,2011,10921,2299
A3,A3,Ford,AUG,2011,13774,2956
A3,A3,Ford,JUL,2011,9451,1940
A3,A3,Ford,JUN,2011,13420,3064
A3,A3,Ford,MAY,2011,11378,3064
A3,A3,Ford,APR,2011,13573,3064
A3,A3,Ford,MAR,2011,11635,3064
A3,A3,Ford,FEB,2011,9577,3064
A3,A3,Ford,JAN,2011,10780,3064
A3,A3,Ford,DEC,2010,12490,3064
A3,A3,Ford,NOV,2010,15127,3064
A3,A3,Ford,OCT,2010,11524,3064
A3,A3,Ford,SEP,2010,14234,3064
A3,A3,Ford,AUG,2010,14551,3064
A3,A3,Ford,JUL,2010,12213,3064
A3,A3,Ford,JUN,2010,14079,3064
A3,A3,Ford,MAY,2010,11040,3064
A3,A3,Ford,APR,2010,10460,3064
A3,A3,Ford,MAR,2010,15435,3064
A3,A3,Ford,FEB,2010,12811,3064
A3,A3,Ford,JAN,2010,12616,3064
A3,A3,Ford,DEC,2009,10743,3064
A3,A3,Ford,NOV,2009,11732,3064
A3,A3,Ford,OCT,2009,9429,3064
A3,A3,Ford,SEP,2009,9025,3064
A3,A3,Ford,AUG,2009,9547,3064
A3,A3,Ford,JUL,2009,11267,3064
A3,A3,Ford,JUN,2009,11205,3064
A3,A3,Ford,MAY,2009,9821,3064
A3,A3,Ford,APR,2009,15224,3064
A3,A3,Ford,MAR,2009,11209,3064
A3,A3,Ford,FEB,2009,14203,3064
A3,A3,Ford,JAN,2009,10150,3064
A4,A4,Kenworth,JUN,2013,12687,2439
A4,A4,Kenworth,MAY,2013,10680,2083
A4,A4,Kenworth,APR,2013,11071,2599
A4,A4,Kenworth,MAR,2013,12302,2361
A4,A4,Kenworth,FEB,2013,8845,1816
A4,A4,Kenworth,JAN,2013,14130,2929
A4,A4,Kenworth,DEC,2012,12316,2702
A4,A4,Kenworth,NOV,2012,11999,2377
A4,A4,Kenworth,OCT,2012,14679,3455
A4,A4,Kenworth,SEP,2012,13835,3232
A4,A4,Kenworth,AUG,2012,13385,2966
A4,A4,Kenworth,JUL,2012,11443,2582
A4,A4,Kenworth,JUN,2012,9290,2092
A4,A4,Kenworth,MAY,2012,11702,2129
A4,A4,Kenworth,APR,2012,15261,3560
A4,A4,Kenworth,MAR,2012,11947,2155
A4,A4,Kenworth,FEB,2012,9782,2048
A4,A4,Kenworth,JAN,2012,11507,2639
A4,A4,Kenworth,DEC,2011,12157,2582
A4,A4,Kenworth,NOV,2011,10861,2021
A4,A4,Kenworth,OCT,2011,13122,2981
A4,A4,Kenworth,SEP,2011,11069,1971
A4,A4,Kenworth,AUG,2011,12312,2363
A4,A4,Kenworth,JUL,2011,10386,1897
A4,A4,Kenworth,JUN,2011,8714,2965
A4,A4,Kenworth,MAY,2011,10235,2965
A4,A4,Kenworth,APR,2011,10090,2965
A4,A4,Kenworth,MAR,2011,14085,2965
A4,A4,Kenworth,FEB,2011,14434,2965
A4,A4,Kenworth,JAN,2011,14256,2965
A4,A4,Kenworth,DEC,2010,9737,2965
A4,A4,Kenworth,NOV,2010,13118,2965
A4,A4,Kenworth,OCT,2010,9862,2965
A4,A4,Kenworth,SEP,2010,13570,2965
A4,A4,Kenworth,AUG,2010,14179,2965
A4,A4,Kenworth,JUL,2010,13989,2965
A4,A4,Kenworth,JUN,2010,12950,2965
A4,A4,Kenworth,MAY,2010,11157,2965
A4,A4,Kenworth,APR,2010,8673,2965
A4,A4,Kenworth,MAR,2010,15177,2965
A4,A4,Kenworth,FEB,2010,9579,2965
A4,A4,Kenworth,JAN,2010,14282,2965
A4,A4,Kenworth,DEC,2009,14325,2965
A4,A4,Kenworth,NOV,2009,12724,2965
A4,A4,Kenworth,OCT,2009,12773,2965
A4,A4,Kenworth,SEP,2009,8998,2965
A4,A4,Kenworth,AUG,2009,11910,2965
A4,A4,Kenworth,JUL,2009,12707,2965
A4,A4,Kenworth,JUN,2009,13465,2965
A4,A4,Kenworth,MAY,2009,14419,2965
A4,A4,Kenworth,APR,2009,14684,2965
A4,A4,Kenworth,MAR,2009,13090,2965
A4,A4,Kenworth,FEB,2009,15090,2965
A4,A4,Kenworth,JAN,2009,14249,2965
A5,A5,Hino,JUN,2013,10233,1825
A5,A5,Hino,MAY,2013,14634,3450
A5,A5,Hino,APR,2013,9281,2028
A5,A5,Hino,MAR,2013,13547,2790
A5,A5,Hino,FEB,2013,12990,3056
A5,A5,Hino,JAN,2013,13769,2713
A5,A5,Hino,DEC,2012,11423,2083
A5,A5,Hino,NOV,2012,12570,2547
A5,A5,Hino,OCT,2012,14204,2770
A5,A5,Hino,SEP,2012,15279,3122
A5,A5,Hino,AUG,2012,14473,2745
A5,A5,Hino,JUL,2012,11312,2453
A5,A5,Hino,JUN,2012,13969,2943
A5,A5,Hino,MAY,2012,13422,2520
A5,A5,Hino,APR,2012,14092,2619
A5,A5,Hino,MAR,2012,10749,2289
A5,A5,Hino,FEB,2012,10649,2410
A5,A5,Hino,JAN,2012,12587,2269
A5,A5,Hino,DEC,2011,8498,1736
A5,A5,Hino,NOV,2011,15339,2612
A5,A5,Hino,OCT,2011,10502,2099
A5,A5,Hino,SEP,2011,13867,3133
A5,A5,Hino,AUG,2011,11594,2613
A5,A5,Hino,JUL,2011,10571,2044
A5,A5,Hino,JUN,2011,13508,2310
A5,A5,Hino,MAY,2011,15678,2310
A5,A5,Hino,APR,2011,14318,2310
A5,A5,Hino,MAR,2011,14088,2310
A5,A5,Hino,FEB,2011,13217,2310
A5,A5,Hino,JAN,2011,12969,2310
A5,A5,Hino,DEC,2010,14377,2310
A5,A5,Hino,NOV,2010,11064,2310
A5,A5,Hino,OCT,2010,12704,2310
A5,A5,Hino,SEP,2010,10887,2310
A5,A5,Hino,AUG,2010,13956,2310
A5,A5,Hino,JUL,2010,14447,2310
A5,A5,Hino,JUN,2010,12146,2310
A5,A5,Hino,MAY,2010,10212,2310
A5,A5,Hino,APR,2010,10402,2310
A5,A5,Hino,MAR,2010,13295,2310
A5,A5,Hino,FEB,2010,15016,2310
A5,A5,Hino,JAN,2010,10200,2310
A5,A5,Hino,DEC,2009,9269,2310
A5,A5,Hino,NOV,2009,10744,2310
A5,A5,Hino,OCT,2009,10467,2310
A5,A5,Hino,SEP,2009,11495,2310
A5,A5,Hino,AUG,2009,15537,2310
A5,A5,Hino,JUL,2009,14058,2310
A5,A5,Hino,JUN,2009,13265,2310
A5,A5,Hino,MAY,2009,12275,2310
A5,A5,Hino,APR,2009,14289,2310
A5,A5,Hino,MAR,2009,13046,2310
A5,A5,Hino,FEB,2009,9582,2310
